task,duration
write report,5.6
project documentation,4.9
study data structures,4.9
write executive summary,2.3
prepare viva questions,2.5
update resume,1.0
prepare viva questions,3.8
create wireframes,2.2
draft research proposal,6.3
project documentation,6.3
debug code,2.4
set up environment,1.0
attend workshop,2.7
practice interview,2.7
compile bibliography,1.9
revise for test,2.4
update resume,1.6
clean dataset,1.6
test application,3.1
design poster,3.5
work on literature review,6.5
write blog post,1.2
write executive summary,1.3
design poster,1.2
work on literature review,6.9
perform code review,1.4
perform code review,2.1
draft research proposal,6.2
make presentation,3.8
complete thesis,12.0
debug code,1.8
write executive summary,1.2
conduct survey,3.1
complete thesis,12.7
write report,7.0
prepare seminar,4.7
plan project roadmap,3.9
study data structures,3.5
compile bibliography,3.3
write report,5.1
record demo video,2.5
clean dataset,2.2
study data structures,3.5
prepare viva questions,3.3
draft research proposal,6.0
write report,5.7
read research paper,2.0
update resume,1.0
edit thesis,7.8
compile bibliography,2.1
create infographic,2.7
review notes,2.6
project documentation,5.7
code final project,8.2
prepare for exam,4.1
read research paper,2.2
practice interview,4.1
revise for test,2.0
analyze results,4.8
clean dataset,2.6
code final project,7.9
plan project roadmap,4.4
study data structures,4.6
design poster,1.1
compile bibliography,2.0
create wireframes,2.1
conduct survey,2.6
complete thesis,13.2
draft research proposal,6.4
update resume,1.1
code final project,7.7
code final project,8.1
set up environment,1.0
study data structures,3.7
write unit tests,2.1
edit thesis,6.4
write report,5.6
write executive summary,2.7
plan project roadmap,3.4
work on literature review,5.5
update resume,1.0
train ML model,5.6
write report,5.2
optimize code,4.5
prepare for exam,3.2
conduct survey,4.4
record presentation,1.1
create infographic,3.8
brainstorm ideas,3.0
project documentation,4.7
edit thesis,8.2
perform code review,1.9
draft research proposal,5.2
build prototype,10.0
write blog post,3.3
analyze results,4.4
